,title,link,department_id,brand,rating,tcin,price,currency,symbol,sponsored,primary_title,ounces
75,Persil 2in1 Odor Fighter Liquid Laundry Detergent - 100 fl oz,https://www.target.com/p/persil-2in1-odor-fighter-liquid-laundry-detergent-100-fl-oz/-/A-52945126,3,Persil,4.8,52945126,13.99,USD,$,False,Persil 2in1 Odor Fighter Liquid Laundry Detergent ,100
152,Persil Intense Fresh Liquid Laundry Detergent - 40 fl oz,https://www.target.com/p/persil-intense-fresh-liquid-laundry-detergent-40-fl-oz/-/A-87559685,3,Persil,4.7,87559685,5.99,USD,$,False,Persil Intense Fresh Liquid Laundry Detergent ,40
172,Persil Original Liquid Concentrated Laundry Detergent - 82.5oz,https://www.target.com/p/persil-original-liquid-concentrated-laundry-detergent-82-5oz/-/A-83386310,3,Persil,5.0,83386310,27.49,USD,$,False,Persil Original Liquid Concentrated Laundry Detergent ,82.5
14,Persil Original Scent Liquid Laundry Detergent - 100 fl oz,https://www.target.com/p/persil-original-scent-liquid-laundry-detergent-100-fl-oz/-/A-50302226,3,Persil,4.4,50302226,13.99,USD,$,False,Persil Original Scent Liquid Laundry Detergent ,100
79,Persil Oxi Liquid Laundry Detergent - 100 fl oz,https://www.target.com/p/persil-oxi-liquid-laundry-detergent-100-fl-oz/-/A-78138971,3,Persil,0.0,78138971,13.99,USD,$,False,Persil Oxi Liquid Laundry Detergent ,100
15,Purex Mountain Breeze HE Liquid Laundry Detergent - 150 fl oz,https://www.target.com/p/purex-mountain-breeze-he-liquid-laundry-detergent-150-fl-oz/-/A-17079306,3,Purex,4.7,17079306,9.19,USD,$,False,Purex Mountain Breeze HE Liquid Laundry Detergent ,150
40,Purex with Crystals Fragrance Lavender Blossom Liquid Laundry Detergent - 150 fl oz,https://www.target.com/p/purex-with-crystals-fragrance-lavender-blossom-liquid-laundry-detergent-150-fl-oz/-/A-17206874,3,Purex,4.7,17206874,9.19,USD,$,False,Purex with Crystals Fragrance Lavender Blossom Liquid Laundry Detergent ,150
98,Seventh Generation EasyDose Liquid Laundry Detergent - Rose - 23.1 fl oz,https://www.target.com/p/seventh-generation-easydose-liquid-laundry-detergent-rose-23-1-fl-oz/-/A-84215090,3,Seventh Generation,4.4,84215090,13.99,USD,$,False,Seventh Generation EasyDose Liquid Laundry Detergent ,23.1
76,Seventh Generation EasyDose Ultra Concentrated 66-Loads Laundry Detergent Lavender-23.1 fl oz,https://www.target.com/p/seventh-generation-easydose-ultra-concentrated-66-loads-laundry-detergent-lavender-23-1-fl-oz/-/A-76158734,3,Seventh Generation,4.6,76158734,13.99,USD,$,False,Seventh Generation EasyDose Ultra Concentrated 66,23.1
119,Seventh Generation EasyDose Ultra Concentrated Baby Laundry Detergent - Free &#38; Clear - 23.1 fl oz,https://www.target.com/p/seventh-generation-easydose-ultra-concentrated-baby-laundry-detergent-free-38-clear-23-1-fl-oz/-/A-87070650,7,Seventh Generation,4.7,87070650,15.99,USD,$,False,Seventh Generation EasyDose Ultra Concentrated Baby Laundry Detergent ,23.1
10,Seventh Generation Free &#38; Clear Ultra-Concentrated 66-Loads Laundry Detergent &#8211; 23.1 fl oz,https://www.target.com/p/seventh-generation-free-38-clear-ultra-concentrated-66-loads-laundry-detergent-8211-23-1-fl-oz/-/A-76158733,3,Seventh Generation,4.6,76158733,13.99,USD,$,False,Seventh Generation Free &#38; Clear Ultra,8211.23
56,Seventh Generation Laundry Packs Free &#38; Clear - 45ct/31.7oz,https://www.target.com/p/seventh-generation-laundry-packs-free-38-clear-45ct-31-7oz/-/A-50867060,3,Seventh Generation,4.6,50867060,13.99,USD,$,False,Seventh Generation Laundry Packs Free &#38; Clear ,31.7
80,Seventh Generation Laundry Packs Fresh Citrus - 42ct/29.6oz,https://www.target.com/p/seventh-generation-laundry-packs-fresh-citrus-42ct-29-6oz/-/A-52014358,3,Seventh Generation,4.6,52014358,13.99,USD,$,False,Seventh Generation Laundry Packs Fresh Citrus ,29.6
74,Seventh Generation Liquid Laundry Detergent - Free &#38; Clear - 90 fl oz,https://www.target.com/p/seventh-generation-liquid-laundry-detergent-free-38-clear-90-fl-oz/-/A-84215092,3,Seventh Generation,0.0,84215092,12.99,USD,$,False,Seventh Generation Liquid Laundry Detergent ,90
99,Seventh Generation Liquid Laundry Detergent - Sage and Cedar - 90 fl oz,https://www.target.com/p/seventh-generation-liquid-laundry-detergent-sage-and-cedar-90-fl-oz/-/A-84215091,3,Seventh Generation,4.2,84215091,12.99,USD,$,False,Seventh Generation Liquid Laundry Detergent ,90
86,Seventh Generation Liquid Laundry Detergent Soap - Fresh Citrus Scent - 60 Loads - 90 fl oz,https://www.target.com/p/seventh-generation-liquid-laundry-detergent-soap-fresh-citrus-scent-60-loads-90-fl-oz/-/A-84215097,3,Seventh Generation,4.5,84215097,12.99,USD,$,False,Seventh Generation Liquid Laundry Detergent Soap ,90
